"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"f2933db0-3b5e-44ff-a354-7a06053ea2b9","Michael","Thomas","-","0.0",,"WR",,,
"26ce27f5-babb-4cb5-a39f-9a89c416b69e","Max","Duggan","-","0.0",,"QB",,,
"82fb71e6-751c-4d58-9057-d45923b76716","Jody","Fortson","-","0.0",,"TE",,,
"dc2e3603-d50d-4e48-8af4-6a8d7c7446eb","Daurice","Fountain","-","0.0",,"WR",,,
"ee0509c7-82c2-428a-b884-8517a4ceb0e0","Brandon","Dillon","-","0.0",,"TE",,,
"ee408b18-26d1-45e8-bad0-2e7811adb3e5","Brian","Hoyer","-","0.0",,"QB",,,
"fb2d8d58-1a9d-44b9-a0d7-c94029920ad8","Joshua","Simon","-","0.0",,"TE","ATL",,
"fedef765-e0cc-42d8-954e-71945c76995f","Anthony","McFarland","-","0.0",,"RB",,,
"c416383c-a073-4c95-b98d-95f973469ee2","Nyheim","Miller-Hines","-","0.0",,"RB",,,
"1a460d42-fb92-4617-a034-83a815fdee35","Equanimeous","St. Brown","-","0.0",,"WR",,,
"75db8d7a-8a83-4a3c-918f-ae035fd6bb62","Drake","Stoops","-","0.0",,"WR",,,
"3f75318e-7db6-4889-8c47-87e0ef05217b","Kyric","McGowan","-","0.0",,"WR",,,
"e7b3c934-50a8-4a3a-9f2b-a26cf98542ac","Jonathan","Ward","-","0.0",,"RB",,,
"1d7e2d3a-efe7-43fe-b8d1-7f69c0de676c","Seth","Henigan","-","0.0",,"QB","IND",,
"3268cb32-1bbf-46ec-9f83-516a7bb8d88d","Zavion","Thomas","-","0.0",,"WR",,,
"7cf73b21-7869-405e-8239-80c658ea3768","Kelly","Akharaiyi","-","0.0",,"WR",,,
"9aa62b42-770f-4ec2-8e85-30ca00509906","Isaiah","Winstead","-","0.0",,"WR",,,
"4e095da6-5de5-4123-8d01-1cbffb761394","Kirk","Merritt","-","0.0",,"WR",,,
"653b8ff0-6dd9-41a2-9175-0fcba9f06dc0","Skylar","Thompson","-","0.0",,"QB",,,
"16a2ee63-f303-4a88-9bb3-1249f2049e89","Tommy","Hudson","-","0.0",,"TE",,,
"49f7cb7c-4189-45e4-850e-378edd08b32b","Dylan","Parham","-","0.0",,"TE",,,
"6d617460-69ad-4329-bab2-9b569c6658c8","Elijah","Cooks","-","0.0",,"WR","NO",,
"473028d3-4ab3-4cd4-8b71-a58f80ea8e4e","Dezmon","Patmon","-","0.0",,"WR",,,
"7c0893a1-8af4-430b-9b4e-d3e1e47cb5b4","Laquon","Treadwell","-","0.0",,"WR","IND",,
"164c7dda-98b5-4098-9f5a-afb2f622935b","Anthony","Firkser","-","0.0",,"TE",,,
"d9e72afb-136d-4ddc-a451-57cb0476d5c7","Cooper","Rush","-","0.0",,"QB",,,
"3e5b4a8f-5c87-46ee-bbe4-c3df642ee23b","Nick","Muse","-","0.0",,"TE",,,
"ac7a0ed5-a085-410c-a7a7-535b29449979","Isaiah","Washington","-","0.0",,"WR",,,
"9525a6fa-2259-421e-8f69-50df349c6a82","Cornelius","Johnson","-","0.0",,"WR","BAL",,
"a9f6b720-1dc6-47e4-8217-714d4b47c829","Hunter","Bryant","-","0.0",,"TE",,,
"027b04df-8187-4652-962c-50aebcb28936","Josiah","Deguara","-","0.0",,"TE",,,
"f79d1f8a-db38-4fe5-a0c2-541b47a542ba","Joseph","Ngata","-","0.0",,"WR",,,
"c20da9dd-e382-47a6-87d4-e33ab7a4d2ea","Velus","Jones Jr.","-","0.0",,"WR","SEA",,
"972ad53a-6288-46d4-a4b2-8bab13de4d32","Brandon","Johnson","-","0.0",,"WR",,,
"fb67117b-3c07-4ae3-87d5-3d7a5f4f94f6","Casey","Washington","-","0.0",,"WR","ATL",,
"c9e8fd75-195c-4759-b045-52f47fc1afda","Wayne","Gallman","-","0.0",,"RB",,,
"74328466-c317-42a2-82fb-fcd6f0794859","Grant","DuBose","-","0.0",,"WR",,,
"8e657894-cbf8-4464-b60c-c9cf9aa2520b","Raheem","Blackshear","-","0.0",,"RB",,,
"1b821175-4851-4629-8fc5-b8036ad14a61","Diontae","Johnson","-","0.0",,"WR",,,
